Country,City,Subdivision,lat,lng
Greece,Athens,Gazi,37.97481315,23.7027512
Greece,Athens,Kolonaki,37.9769749,23.7408135
Greece,Athens,Makrigianni,38.0509945,23.8331268
Greece,Athens,Omonia Square,37.983945,23.7279215
Greece,Athens,Plaka,37.9728505,23.7300556
Greece,Athens,Thissio,37.9740677,23.7199605
Hungary,Budapest,District I,47.4983815,19.0404707
Hungary,Budapest,District II,47.5686915,19.02766818
Hungary,Budapest,District III,47.5686915,19.02766818
Hungary,Budapest,District IV,47.57777895,19.09316361
Hungary,Budapest,District IX,47.4650699,19.09675231
Hungary,Budapest,District V,47.47569285,19.26877965
Hungary,Budapest,District VI,47.50807715,19.0644262
Hungary,Budapest,District VII,47.5026271,19.07724333
Hungary,Budapest,District X,47.57777895,19.09316361
Hungary,Budapest,District XI,47.57777895,19.09316361
Hungary,Budapest,District XII,47.5048,18.98281489
Hungary,Budapest,District XIII,47.5368042,19.07419863
Hungary,Budapest,District XIV,47.52300395,19.11451267
Hungary,Budapest,District XIX,47.44563005,19.14150956
Hungary,Budapest,District XV,47.5627136,19.14021824
Hungary,Budapest,District XVI,47.5182656,19.20429469
Hungary,Budapest,District XVII,47.47569285,19.26877965
Hungary,Budapest,District XVIII,47.4265874,19.20727949
Hungary,Budapest,District XX,47.43309885,19.11880572
Hungary,Budapest,District XXI,47.424317,19.06921382
Hungary,Budapest,District XXII,47.41038385,19.00096653
Hungary,Budapest,District XXIII,47.38851235,19.15064192
Ireland,Dublin,Dublin 1,53.3524881,-6.25664569
Ireland,Dublin,Dublin 10,53.34321655,-6.360963597
Ireland,Dublin,Dublin 11,53.3866136,-6.292626932
Ireland,Dublin,Dublin 12,53.32052905,-6.328824142
Ireland,Dublin,Dublin 13,53.3856513,-6.075383318
Ireland,Dublin,Dublin 14,53.2986473,-6.258201183
Ireland,Dublin,Dublin 15,53.39493455,-6.389208545
Ireland,Dublin,Dublin 16,53.2557218,-6.296344944
Ireland,Dublin,Dublin 17,53.40036075,-6.209491171
Ireland,Dublin,Dublin 18,53.24093525,-6.18334533
Ireland,Dublin,Dublin 19,53.3497645,-6.2602732
Ireland,Dublin,Dublin 2,53.33894015,-6.252712822
Ireland,Dublin,Dublin 20,53.3523699,-6.372325137
Ireland,Dublin,Dublin 21,53.3340302,-6.25561774
Ireland,Dublin,Dublin 22,53.31701835,-6.438519073
Ireland,Dublin,Dublin 23,53.3340302,-6.25561774
Ireland,Dublin,Dublin 24,53.2479888,-6.424349898
Ireland,Dublin,Dublin 3,53.3612231,-6.185466806
Ireland,Dublin,Dublin 4,53.3275073,-6.227485886
Ireland,Dublin,Dublin 5,53.3834538,-6.181923245
Ireland,Dublin,Dublin 6,53.3176976,-6.259525133
Ireland,Dublin,Dublin 7,53.3605505,-6.284465501
Ireland,Dublin,Dublin 8,53.3502629,-6.320212884
Ireland,Dublin,Dublin 9,53.3860497,-6.245577085
Italy,Rome,Municipio I,41.9034912,12.4528349
Italy,Rome,Municipio II,41.9056765,12.500712
Italy,Rome,Municipio III,41.9034912,12.4528349
Italy,Rome,Municipio IV,41.9333439,12.5987962
Italy,Rome,Municipio IX,41.9034912,12.4528349
Italy,Rome,Municipio V,42.07418105,12.90174944
Italy,Rome,Municipio VI,41.9034912,12.4528349
Italy,Rome,Municipio VII,41.85400725,12.57016111
Italy,Rome,Municipio VIII,41.9034912,12.4528349
Italy,Rome,Municipio X,42.07418105,12.90174944
Italy,Rome,Municipio XI,41.6092064,12.5453377
Italy,Rome,Municipio XII,42.0797744,12.40097596
Italy,Rome,Municipio XIII,41.9034912,12.4528349
Italy,Rome,Municipio XIV,41.9034912,12.4528349
Italy,Rome,Municipio XV,41.9034912,12.4528349
Latvia,Riga,Central District,56.9564893,24.1009929
Latvia,Riga,Kurzeme District,57.0013089,23.9448829
Latvia,Riga,Latgale Suburb,56.9133069,24.138118
Latvia,Riga,Northern District,57.0191889,23.9726717
Latvia,Riga,Vidzeme Suburb,56.9839019,24.1447191
Latvia,Riga,Zemgale Suburb,56.9145974,23.9870711
Lithuania,Vilnius,Antakalnis,54.7056388,25.3145377
Lithuania,Vilnius,Fabijoniškės,54.7264112,25.2492422
Lithuania,Vilnius,Grigiškės,54.6744932,25.08908163
Lithuania,Vilnius,Justiniškės,54.71786,25.2202048
Lithuania,Vilnius,Karoliniškės,54.693085,25.2131579
Lithuania,Vilnius,Lazdynai,54.6760345,25.2099318
Lithuania,Vilnius,Naujamiestis,54.6809958,25.2651214
Lithuania,Vilnius,Naujininkai,54.6612223,25.2718256
Lithuania,Vilnius,Naujoji Vilnia,54.695211,25.4030535
Lithuania,Vilnius,Paneriai,54.7855528,24.9120123
Lithuania,Vilnius,Pašilaičiai,54.7284868,25.2289162
Lithuania,Vilnius,Pilaitė,54.7056763,25.1835024
Lithuania,Vilnius,Rasos,54.6689571,25.2986051
Lithuania,Vilnius,Senamiestis,54.6818728,25.2884035
Lithuania,Vilnius,Šeškinė,54.7126527,25.2522029
Lithuania,Vilnius,Šnipiškės,54.7017555,25.2785584
Lithuania,Vilnius,Verkiai,54.7506573,25.2947674
Lithuania,Vilnius,Vilkpėdė,54.666744,25.2437768
Lithuania,Vilnius,Viršuliškės,54.705351,25.228871
Lithuania,Vilnius,Žirmūnai,54.7111722,25.2988095
Lithuania,Vilnius,Žvėrynas,54.6946327,25.2510333
Luxembourg,Luxembourg,Beggen,49.6429475,6.129600237
Luxembourg,Luxembourg,Belair,49.61146575,6.107923569
Luxembourg,Luxembourg,Cents,49.6163979,6.162107324
Luxembourg,Luxembourg,Cessange,49.58528975,6.095940821
Luxembourg,Luxembourg,Clausen,49.61441775,6.143084738
Luxembourg,Luxembourg,Dommeldange,49.6424054,6.143384627
Luxembourg,Luxembourg,Eich,49.63176085,6.134022978
Luxembourg,Luxembourg,Gare,49.60196375,6.130254991
Luxembourg,Luxembourg,Gasperich,49.5789669,6.118003878
Luxembourg,Luxembourg,Grund,49.6083109,6.137484935
Luxembourg,Luxembourg,Hamm,49.6109913,6.179343718
Luxembourg,Luxembourg,Hollerich,49.6021549,6.116112585
Luxembourg,Luxembourg,Kirchberg,49.6278334,6.1596669
Luxembourg,Luxembourg,Limpertsberg,49.6208815,6.119030701
Luxembourg,Luxembourg,Merl,49.6005499,6.091001012
Luxembourg,Luxembourg,Muhlenbach,49.63754535,6.11547811
Luxembourg,Luxembourg,Neudorf-Weimershof,49.6258873,6.170355877
Luxembourg,Luxembourg,North Bonnevoie-Verlorenkost,49.5999324,6.1352784
Luxembourg,Luxembourg,Pfaffenthal,49.6180407,6.132171893
Luxembourg,Luxembourg,Pulvermuhl,49.60707745,6.15064612
Luxembourg,Luxembourg,Rollingergrund-North Belair,49.6138288,6.1190686
Luxembourg,Luxembourg,South Bonnevoie,49.59725085,6.144884432
Luxembourg,Luxembourg,Ville Haute,49.61156665,6.127099104
Luxembourg,Luxembourg,Weimerskirch,49.62960965,6.139541214
Malta,Valletta,Valletta,35.89480155,14.50858048
Netherlands,Amsterdam,Centrum,52.3737301,4.8956908
Netherlands,Amsterdam,Nieuw-West,52.3637773,4.8138122
Netherlands,Amsterdam,Noord,52.4017392,4.9153521
Netherlands,Amsterdam,Oost,52.3566078,4.9305774
Netherlands,Amsterdam,West,52.3766721,4.863724
Netherlands,Amsterdam,Westpoort,52.4114676,4.800573467
Netherlands,Amsterdam,Zuid,52.3444702,4.8786639
Netherlands,Amsterdam,Zuidoost,52.3105137,4.9606947
Poland,Warsaw,Bemowo,52.2389738,20.9132881
Poland,Warsaw,Białołęka,52.3196649,21.0211773
Poland,Warsaw,Bielany,52.2946518,20.9299804
Poland,Warsaw,Mokotów,52.1939874,21.0457809
Poland,Warsaw,Ochota,52.212225,20.9726299
Poland,Warsaw,Praga Północ,52.2648843,21.0273442
Poland,Warsaw,Praga Południe,52.2373961,21.0712578
Poland,Warsaw,Rembertów,52.2614149,21.1628191
Poland,Warsaw,Śródmieście,52.2328098,21.019067
Poland,Warsaw,Targówek,52.2751918,21.0580854
Poland,Warsaw,Ursus,52.1960985,20.8828989
Poland,Warsaw,Ursynów,52.141039,21.0323214
