Coutry;City;Borough;Neighbourhood;Area;Population;Density
Germany;Berlin;Treptow - Köpenick;Oberschöneweide;8.16;23,130;2,835
Germany;Berlin;Treptow - Köpenick;Plänterwald;3;11,321;3,774
Germany;Berlin;Treptow - Köpenick;Rahnsdorf;21.37;9,477;443
Germany;Berlin;Treptow - Köpenick;Schmöckwitz;17.08;4,410;258
France;Paris;Paris 10e Arrondissement;;2.89;91,932.00;31,810
France;Paris;Paris 11e Arrondissement;;3.67;147,017.00;40,059
France;Paris;Paris 12e Arrondissement;;6.38;141,494.00;22,178
France;Paris;Paris 13e Arrondissement;;7.15;181,552.00;25,392
France;Paris;Paris 14e Arrondissement;;5.62;137,105.00;24,396
France;Paris;Paris 15e Arrondissement;;8.5;233,484.00;27,469
France;Paris;Paris 16e Arrondissement;;7.85;165,446.00;21,076
France;Paris;Paris 17e Arrondissement;;5.67;167,835.00;29,601
France;Paris;Paris 18e Arrondissement;;6.01;195,060.00;32,456
France;Paris;Paris 19e Arrondissement;;6.79;186,393.00;27,451
France;Paris;Paris 1er Arrondissement;;1.83;16,252.00;8,881
France;Paris;Paris 20e Arrondissement;;5.98;195,604.00;32,710
France;Paris;Paris 2e Arrondissement;;0.99;20,260.00;20,465
France;Paris;Paris 3e Arrondissement;;1.17;34,788.00;29,733
France;Paris;Paris 4e Arrondissement;;1.6;27,487.00;17,179
France;Paris;Paris 5e Arrondissement;;2.54;59,108.00;23,271
France;Paris;Paris 6e Arrondissement;;2.15;40,916.00;19,031
France;Paris;Paris 7e Arrondissement;;4.09;52,512.00;12,839
France;Paris;Paris 8e Arrondissement;;3.88;36,453.00;9,395
France;Paris;Paris 9e Arrondissement;;2.18;59,629.00;27,353
